Sentence,Athletic,Intelligence,Intangibles,Maturity
"Teddy doesn't have elite arm talent to push the ball down the field consistently for 16 weeks, so you scheme verticals for him - just like Sean Payton did last year.",1,0,0,0
Payne walked over to the crowd with a message as soon as the buzzer ended.,0,0,0,0
Murray has since seemingly tipped his hand that he intends to play football - a decision that is likely to lead to a greater immediate payday.,0,0,0,0
"A fantastic leader and a guy that players really look up to,"" Payton said Saturday.",0,0,1,0
"A lot of quarterbacks have tried to knock off Sean Payton's New Orleans Saints teams over the years, but few of them have enjoyed much success or staying power.",0,0,0,0
"As a five-star talent with remarkable physical tools, he tends to rely on his natural gifts and fails to pay attention to the details when it comes to the fundamentals.",1,0,0,0
Bortles is also athletic enough to make defenses pay with his legs.,1,0,0,0
"But if the gamble pays off, and Bradford stays healthy, he will become a free agent at a time when salaries will be skyrocketing.",0,0,0,0
"But let's be honest, were you even going to pay a second thought to the Carolina Panthers with Jimmy Clausen at the helm in 2011?",0,0,0,0
"But Payton acknowledged this week that, ""I don't know that we had decided fully yet.",0,0,0,0
But that wouldn't be making a prediction or a decision above your pay grade.,0,0,0,0
"But the decision to sign Fitzpatrick to a two-year, $11 million contract is paying dividends for Rosen and the franchise.",0,0,0,0
But the early-round premium one will have to pay could prove dangerous.,0,0,0,0
"During last year's Manning Passing Academy, he spent most of his time picking Payton Manning's brain about footwork and five- and seven-step drops.",0,1,0,0
"Even Vikings quarterback Case Keenum, a less accomplished rusher than Newton, has made teams pay with his legs this season by extending plays and forcing the secondary to scramble.",1,0,0,0
"Given mental and communication miscues that have stung the D, Allen will have the same type of mandate from Payton that Ryan couldn't deliver on: Simplify the schemes.",0,1,0,0
Goff does have just enough speed to make defenders pay in the NFL.,1,0,0,0
He also understands that all parents pay local taxes that go toward the school system.,0,1,0,0
He has the kind of institutional knowledge within the division that could pay dividends in what promises to be a complicated and challenging process if and when the Giants take the field.,0,0,0,0
Herbert said his approach and leadership style is paying off.,0,0,1,0
He's acknowledged it multiple times since signing his four-year contract worth $35 million in guaranteed pay.,0,0,0,0
"However brilliant the present - however awesome Griffin's talents, however inconceivable his speed - it was merely the downpayment for a generation of greatness to come.",1,0,0,0
"If Bortles can help the Jaguars win the AFC South and continue to show he can be efficient, it could have significant financial payoff.",0,1,0,0
"In any other draft, he'd be the no-brainer number one overall pick, and someone will (and should) pay that kind of price to add him.",0,0,0,0
"In reviewing film of the Bucs, Saints coach Sean Payton has taken notice of Winston's recent run prowess and he sees a confident quarterback.",0,1,1,0
"In that case, nothing is stopping him from succeeding - and with how inconsistent Baltimore's offense has been this season, maybe a temporary change to Griffin could pay off.",0,0,0,0
"It's only natural, then, that we're going to pay a little extra attention whenever Jones matches up against one of those other first-round quarterbacks from the 2021 draft.",0,0,0,0
"Jones acknowledged the high price the Cowboys were willing to pay for Lynch, especially with the needs this team has on the defensive side of the ball, but obviously thought it was worth it.",0,0,0,0
The athletically gifted Hill was still available for his impact as a specialty weapon.,1,0,0,0
Not overpaying for Lynch was amazing dumb luck for Jones.,0,0,0,0
One of the NFL's true developmental projects is paying big-time dividends for the Texans.,0,0,0,0
"Partying his 20s away may be childish and foolish, but he'd be the one to pay for it.",0,0,0,1
Payton acknowledged this is the first time the Saints have come close to drafting a QB that high in his 12 years as Saints coach.,0,0,0,0
"Recruiters and officials at MSU alleged the pay-by-play scenario put forth by Cecil Newton, but Auburn maintained they had no knowledge or involvement (at least one part of that is right).",0,0,0,0
"Returning to his natural position in the second half, Payton threw a touchdown pass off a halfback option.",0,0,0,0
"Rodgers was clearly rusty as he seemed to rush back from his recovery to give the Packers a fighting chance to make the playoffs, but the Panthers made him pay for that decision.",0,0,0,0
"""Sean just wants to know,"" Rapoport wrote that a source with knowledge of Payton's thinking said.",0,0,0,0
So that's why Winston's decision to take a step back and learn behind two of the all-time greats in Payton and quarterback Drew Brees was met with praise.,0,0,0,1
"Stefanski understood that as Mayfield learned yet another offense and worked with a third play-caller in as many years, a conservative approach early would pay off in the long run.",0,0,0,0
"Tennessee sealed the deal on the first possession of overtime with a commanding six-play, 82-yard drive and Derrick Henry found paydirt for the walk-off victory.",0,0,0,0
"The Bucs have been able to fluster opponents with a powerful pass rush, but when QBs have found time in the pocket they've been able to make Todd Bowles' defense pay.",0,0,0,0
The knowledge could pay off for the Bengals Sunday at Baltimore.,0,0,0,0
"The next game can't come quick enough,"" coach Sean Payton said Sunday after the NFC South leaders rebounded from an ugly loss to last-place Atlanta with a 34-17 victory over the Tampa Bay Buccaneers.",0,0,0,0
"There are certain things you're going to do to be smart, relative to the division,"" Payton said.",0,1,0,0
"They don't make unforced mistakes on the field, they don't overpay at the wrong positions and they don't pass on a no-brainer like signing Newton.",0,0,0,0
Universities should be held accountable for enrolling jocks that are dumb as a wall just so they can win and make money and pay their shifty coaches.,1,1,0,0
"We work scramble drills all week, so I'm glad it's starting to pay off.",1,0,0,0
"When asked about the challenges of defending a dynamic quarterback like Murray, Payton expressed great respect for the rookie's abilities.",1,0,0,0
"While it's premature to discard Goff as an epic draft bust, it's fair to wonder when the franchise's windfall investment might start paying dividends.",0,0,0,0
"Winston looked as good as five touchdowns would indicate, too, showing complete command of the offense and frequently hitting the big-play shots Payton called for.",0,0,0,0
But any of RG3's social awkwardness - perceived or otherwise - would be easy to over look if he was playing well.,0,0,0,0
Cleveland coach Kevin Stefanski declined Friday to say what his team's plan would be for the pregame regarding any social justice message.,0,0,0,0
"During Super Bowl XLIV, Tebow appeared in two 30-second ads for the socially conservative group Focus on the Family, which spawned a horde of detractors blasting him for the group's pro-life message.",0,0,0,0
Getting a UCLA degree might enhance Rosen's chances of becoming the next Bruin whose name is synonymous with not only athletic greatness but also meaningful social change.,0,0,0,0
"In the past, social structures and leadership used to be very defined and clear-cut.",0,0,0,0
"Jefferson County school officials said the donation will ensure students have the opportunity to be their best athletically, academically, artistically and socially.",0,0,0,0
Mayfield is one of 11 players on the Browns' social justice leadership committee.,0,0,0,0
